UID          PID    PPID  C STIME TTY          TIME CMD
root          47       2  0 10:14 ?        00:00:00 [migration/10]
root          48       2  0 10:14 ?        00:00:00 [ksoftirqd/10]
root          50       2  0 10:14 ?        00:00:00 [kworker/10:0H-events_highpri]
root          51       2  0 10:14 ?        00:00:00 [cpuhp/12]
root          52       2  0 10:14 ?        00:00:00 [idle_inject/12]
root          53       2  0 10:14 ?        00:00:05 [migration/12]
root          54       2  0 10:14 ?        00:00:00 [ksoftirqd/12]
root          56       2  0 10:14 ?        00:00:00 [kworker/12:0H-events_highpri]
root          57       2  0 10:14 ?        00:00:00 [cpuhp/13]
root          58       2  0 10:14 ?        00:00:00 [idle_inject/13]
root          59       2  0 10:14 ?        00:00:03 [migration/13]
root          60       2  0 10:14 ?        00:00:00 [ksoftirqd/13]
root          62       2  0 10:14 ?        00:00:00 [kworker/13:0H-events_highpri]
root          63       2  0 10:14 ?        00:00:00 [cpuhp/14]
root          64       2  0 10:14 ?        00:00:00 [idle_inject/14]
root          65       2  0 10:14 ?        00:00:02 [migration/14]
root          66       2  0 10:14 ?        00:00:00 [ksoftirqd/14]
root          68       2  0 10:14 ?        00:00:00 [kworker/14:0H-events_highpri]
root          69       2  0 10:14 ?        00:00:00 [cpuhp/15]
root          70       2  0 10:14 ?        00:00:00 [idle_inject/15]
root          71       2  0 10:14 ?        00:00:01 [migration/15]
root          72       2  0 10:14 ?        00:00:00 [ksoftirqd/15]
root          74       2  0 10:14 ?        00:00:00 [kworker/15:0H-events_highpri]
root          75       2  0 10:14 ?        00:00:00 [cpuhp/16]
root          76       2  0 10:14 ?        00:00:00 [idle_inject/16]
root          77       2  0 10:14 ?        00:00:02 [migration/16]
root          78       2  0 10:14 ?        00:00:00 [ksoftirqd/16]
root          80       2  0 10:14 ?        00:00:00 [kworker/16:0H-kblockd]
root          81       2  0 10:14 ?        00:00:00 [cpuhp/17]
root          82       2  0 10:14 ?        00:00:00 [idle_inject/17]
root          83       2  0 10:14 ?        00:00:01 [migration/17]
root          84       2  0 10:14 ?        00:00:00 [ksoftirqd/17]
root          86       2  0 10:14 ?        00:00:00 [kworker/17:0H-events_highpri]
root          87       2  0 10:14 ?        00:00:00 [cpuhp/18]
root          88       2  0 10:14 ?        00:00:00 [idle_inject/18]
root          89       2  0 10:14 ?        00:00:01 [migration/18]
root          90       2  0 10:14 ?        00:00:00 [ksoftirqd/18]
root          92       2  0 10:14 ?        00:00:00 [kworker/18:0H-events_highpri]
root          93       2  0 10:14 ?        00:00:00 [cpuhp/19]
root          94       2  0 10:14 ?        00:00:00 [idle_inject/19]
root          95       2  0 10:14 ?        00:00:00 [migration/19]
root          96       2  0 10:14 ?        00:00:00 [ksoftirqd/19]
root          98       2  0 10:14 ?        00:00:00 [kworker/19:0H-events_highpri]
root          99       2  0 10:14 ?        00:00:00 [cpuhp/1]
root         100       2  0 10:14 ?        00:00:00 [idle_inject/1]
root         101       2  0 10:14 ?        00:00:00 [migration/1]
root         102       2  0 10:14 ?        00:00:00 [ksoftirqd/1]
root         104       2  0 10:14 ?        00:00:00 [kworker/1:0H-events_highpri]
root         105       2  0 10:14 ?        00:00:00 [cpuhp/3]
root         106       2  0 10:14 ?        00:00:00 [idle_inject/3]
root         107       2  0 10:14 ?        00:00:00 [migration/3]
root         108       2  0 10:14 ?        00:00:00 [ksoftirqd/3]
root         110       2  0 10:14 ?        00:00:00 [kworker/3:0H-events_highpri]
root         111       2  0 10:14 ?        00:00:00 [cpuhp/5]
root         112       2  0 10:14 ?        00:00:00 [idle_inject/5]
root         113       2  0 10:14 ?        00:00:00 [migration/5]
root         114       2  0 10:14 ?        00:00:00 [ksoftirqd/5]
root         116       2  0 10:14 ?        00:00:00 [kworker/5:0H-events_highpri]
root         117       2  0 10:14 ?        00:00:00 [cpuhp/7]
root         118       2  0 10:14 ?        00:00:00 [idle_inject/7]
root         119       2  0 10:14 ?        00:00:00 [migration/7]
root         120       2  0 10:14 ?        00:00:00 [ksoftirqd/7]
root         122       2  0 10:14 ?        00:00:00 [kworker/7:0H-events_highpri]
root         123       2  0 10:14 ?        00:00:00 [cpuhp/9]
root         124       2  0 10:14 ?        00:00:00 [idle_inject/9]
root         125       2  0 10:14 ?        00:00:00 [migration/9]
root         126       2  0 10:14 ?        00:00:05 [ksoftirqd/9]
root         128       2  0 10:14 ?        00:00:00 [kworker/9:0H-events_highpri]
root         129       2  0 10:14 ?        00:00:00 [cpuhp/11]
root         130       2  0 10:14 ?        00:00:00 [idle_inject/11]
root         131       2  0 10:14 ?        00:00:00 [migration/11]
root         132       2  0 10:14 ?        00:00:00 [ksoftirqd/11]
root         134       2  0 10:14 ?        00:00:00 [kworker/11:0H-events_highpri]
root         135       2  0 10:14 ?        00:00:00 [kdevtmpfs]
root         136       2  0 10:14 ?        00:00:00 [kworker/R-inet_]
root         138       2  0 10:14 ?        00:00:00 [kauditd]
root         142       2  0 10:14 ?        00:00:00 [khungtaskd]
root         143       2  0 10:14 ?        00:00:00 [oom_reaper]
root         145       2  0 10:14 ?        00:00:00 [kworker/R-write]
root         146       2  0 10:14 ?        00:00:03 [kcompactd0]
root         147       2  0 10:14 ?        00:00:00 [ksmd]
root         148       2  0 10:14 ?        00:00:00 [khugepaged]
root         149       2  0 10:14 ?        00:00:00 [kworker/R-kinte]
root         150       2  0 10:14 ?        00:00:00 [kworker/R-kbloc]
root         151       2  0 10:14 ?        00:00:00 [kworker/R-blkcg]
root         152       2  0 10:14 ?        00:00:00 [irq/9-acpi]
root         156       2  0 10:14 ?        00:00:00 [kworker/R-tpm_d]
root         157       2  0 10:14 ?        00:00:00 [kworker/R-ata_s]
root         158       2  0 10:14 ?        00:00:00 [kworker/R-md]
root         159       2  0 10:14 ?        00:00:00 [kworker/R-md_bi]
root         160       2  0 10:14 ?        00:00:00 [kworker/R-edac-]
root         161       2  0 10:14 ?        00:00:00 [kworker/R-devfr]
root         162       2  0 10:14 ?        00:00:00 [watchdogd]
root         163       2  0 10:14 ?        00:00:00 [kworker/13:1H-kblockd]
root         164       2  0 10:14 ?        00:00:00 [kswapd0]
root         165       2  0 10:14 ?        00:00:00 [ecryptfs-kthread]
root         166       2  0 10:14 ?        00:00:00 [kworker/R-kthro]
root         167       2  0 10:14 ?        00:00:00 [kworker/R-acpi_]
root         171       2  0 10:14 ?        00:00:00 [hwrng]
root         173       2  0 10:14 ?        00:00:00 [kworker/R-hfi-u]
root         176       2  0 10:14 ?        00:00:00 [kworker/R-mld]
root         177       2  0 10:14 ?        00:00:00 [kworker/R-ipv6_]
root         184       2  0 10:14 ?        00:00:00 [kworker/R-kstrp]
root         207       2  0 10:14 ?        00:00:00 [kworker/R-charg]
root         229       2  0 10:14 ?        00:00:00 [kworker/18:1H-kblockd]
root         233       2  0 10:14 ?        00:00:00 [kworker/4:1H-kblockd]
root         246       2  0 10:14 ?        00:00:00 [kworker/0:1H-kblockd]
root         249       2  0 10:14 ?        00:00:00 [kworker/6:1H-kblockd]
root         250       2  0 10:14 ?        00:00:00 [kworker/7:1H-kblockd]
root         251       2  0 10:14 ?        00:00:00 [kworker/1:1H-kblockd]
root         252       2  0 10:14 ?        00:00:02 [kworker/10:1H-kblockd]
root         253       2  0 10:14 ?        00:00:01 [kworker/12:1H-events_highpri]
root         254       2  0 10:14 ?        00:00:01 [kworker/9:1H-events_highpri]
root         255       2  0 10:14 ?        00:00:00 [kworker/14:1H-kblockd]
root         256       2  0 10:14 ?        00:00:00 [kworker/15:1H-kblockd]
root         257       2  0 10:14 ?        00:00:00 [kworker/17:1H-kblockd]
root         258       2  0 10:14 ?        00:00:00 [kworker/16:1H]
root         259       2  0 10:14 ?        00:00:00 [kworker/2:1H-kblockd]
root         260       2  0 10:14 ?        00:00:00 [kworker/11:1H-kblockd]
root         261       2  0 10:14 ?        00:00:00 [kworker/19:1H-kblockd]
root         265       2  0 10:14 ?        00:00:00 [kworker/8:1H-kblockd]
root         331       2  0 10:14 ?        00:00:00 [kworker/5:1H-kblockd]
root         332       2  0 10:14 ?        00:00:00 [kworker/3:1H-kblockd]
root         336       2  0 10:14 ?        00:00:00 [irq/150-aerdrv]
root         338       2  0 10:14 ?        00:00:00 [scsi_eh_0]
root         339       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         340       2  0 10:14 ?        00:00:00 [scsi_eh_1]
root         341       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         342       2  0 10:14 ?        00:00:00 [scsi_eh_2]
root         343       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         344       2  0 10:14 ?        00:00:00 [scsi_eh_3]
root         345       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         346       2  0 10:14 ?        00:00:00 [scsi_eh_4]
root         347       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         348       2  0 10:14 ?        00:00:00 [scsi_eh_5]
root         349       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         350       2  0 10:14 ?        00:00:00 [scsi_eh_6]
root         351       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         352       2  0 10:14 ?        00:00:00 [scsi_eh_7]
root         353       2  0 10:14 ?        00:00:00 [kworker/R-scsi_]
root         357       2  0 10:14 ?        00:00:00 [kworker/R-nvme-]
root         358       2  0 10:14 ?        00:00:00 [kworker/R-nvme-]
root         359       2  0 10:14 ?        00:00:00 [kworker/R-nvme-]
root         360       2  0 10:14 ?        00:00:00 [kworker/R-nvme-]
root         373       2  0 10:14 ?        00:00:00 [kworker/R-raid5]
root         406       2  0 10:14 ?        00:00:07 [jbd2/nvme0n1p3-8]
root         407       2  0 10:14 ?        00:00:00 [kworker/R-ext4-]
root         452       1  0 10:14 ?        00:00:08 /lib/systemd/systemd-journald
root         520       1  0 10:14 ?        00:00:23 /lib/systemd/systemd-udevd
root         720       2  0 10:14 ?        00:00:00 [kworker/R-crypt]
systemd+     730       1  0 10:14 ?        00:00:28 /lib/systemd/systemd-oomd
systemd+     733       1  0 10:14 ?        00:00:21 /lib/systemd/systemd-resolved
systemd+     734       1  0 10:14 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         757       2  0 10:14 ?        00:00:00 [irq/16-processor_thermal_device_pci]
root         820       2  0 10:14 ?        00:00:00 [kworker/R-ttm]
root         824       1  0 10:14 ?        00:00:01 /usr/sbin/acpid
avahi        829       1  0 10:14 ?        00:00:06 avahi-daemon: running [iai-solution.local]
message+     830       1  0 10:14 ?        00:00:24 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         838       1  0 10:14 ?        00:00:02 /usr/sbin/irqbalance --foreground
root         841       2  0 10:14 ?        00:00:00 [card1-crtc0]
root         842       2  0 10:14 ?        00:00:00 [card1-crtc1]
root         843       2  0 10:14 ?        00:00:00 [card1-crtc2]
root         844       2  0 10:14 ?        00:00:00 [card1-crtc3]
root         846       1  0 10:14 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         848       1  0 10:14 ?        00:00:03 /usr/libexec/polkitd --no-debug
root         850       1  0 10:14 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       852       1  0 10:14 ?        00:00:02 /usr/sbin/rsyslogd -n -iNONE
root         860       1  0 10:14 ?        00:00:13 /usr/lib/snapd/snapd
root         865       1  0 10:14 ?        00:00:01 /usr/libexec/accounts-daemon
root         869       1  0 10:14 ?        00:00:00 /usr/sbin/cron -f -P
root         870       1  0 10:14 ?        00:00:00 /usr/libexec/switcheroo-control
root         871       1  0 10:14 ?        00:00:01 /lib/systemd/systemd-logind
root         874       1  0 10:14 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         875       1  0 10:14 ?        00:00:03 /usr/libexec/udisks2/udisksd
root         876       1  0 10:14 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        882     829  0 10:14 ?        00:00:00 avahi-daemon: chroot helper
root         946       1  0 10:14 ?        00:00:00 /usr/sbin/dcae
root         952       1  0 10:14 ?        00:00:01 /usr/sbin/ModemManager
root        1019       1  0 10:14 ?        00:00:33 /usr/sbin/NetworkManager --no-daemon
root        1021       1  0 10:14 ?        00:00:00 /usr/libexec/upowerd
root        1028       1  0 10:14 ?        00:00:00 /usr/sbin/cupsd -l
root        1031       1  0 10:14 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1040       1  0 10:14 ?        00:00:00 /usr/sbin/xrdp-sesman
root        1052       1  0 10:14 ?        00:00:00 /usr/sbin/gdm3
xrdp        1055       1  0 10:14 ?        00:00:00 /usr/sbin/xrdp
root        1094       1  0 10:14 ?        00:00:41 /usr/bin/containerd
rtkit       1406       1  0 10:14 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1593       1  0 10:14 ?        00:00:07 /usr/libexec/packagekitd
colord      1777       1  0 10:14 ?        00:00:00 /usr/libexec/colord
root        1796       2  0 10:14 ?        00:00:31 [kworker/u41:1-i915_flip]
root        1873    1052  0 10:14 ?        00:00:00 gdm-session-worker [pam/gdm-password]
manikan+    1908       1  0 10:14 ?        00:00:19 /lib/systemd/systemd --user
manikan+    1909    1908  0 10:14 ?        00:00:00 (sd-pam)
manikan+    1941    1908  0 10:14 ?        00:00:00 /usr/bin/pipewire
manikan+    1942    1908  0 10:14 ?        00:00:00 /usr/bin/pipewire-media-session
manikan+    1943    1908  0 10:14 ?        00:00:26 /usr/bin/pulseaudio --daemonize=no --log-target=journal
manikan+    1953       1  0 10:14 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
manikan+    1977    1908  0 10:14 ?        00:00:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
manikan+    1979    1908  0 10:14 ?        00:00:00 /usr/libexec/xdg-document-portal
manikan+    1982    1908  0 10:14 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1989    1979  0 10:14 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
manikan+    2008    1873  0 10:14 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
manikan+    2011    2008  0 10:14 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
manikan+    2057    1908  0 10:14 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
manikan+    2068    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfsd
manikan+    2074    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
manikan+    2081    1908  0 10:14 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
manikan+    2096    2081  0 10:14 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
manikan+    2103    2096  0 10:14 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
manikan+    2106    1908  3 10:14 ?        00:14:27 /usr/bin/gnome-shell
manikan+    2170    1908  0 10:14 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
manikan+    2176    1908  0 10:14 ?        00:00:00 /usr/libexec/evolution-source-registry
manikan+    2183    1908  0 10:14 ?        00:00:05 /usr/libexec/goa-daemon
manikan+    2184    1908  0 10:14 ?        00:00:46 /usr/libexec/gvfs-udisks2-volume-monitor
manikan+    2189    1908  0 10:14 ?        00:00:05 /usr/libexec/evolution-calendar-factory
manikan+    2194    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
manikan+    2203    1908  0 10:14 ?        00:00:00 /usr/libexec/goa-identity-service
manikan+    2207    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
manikan+    2219    1908  0 10:14 ?        00:00:00 /usr/libexec/dconf-service
manikan+    2220    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
manikan+    2221    1908  0 10:14 ?        00:00:05 /usr/libexec/evolution-addressbook-factory
manikan+    2229    1908  0 10:14 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
manikan+    2245    1908  0 10:14 ?        00:00:00 /usr/bin/Thunar --daemon
manikan+    2246    2068  0 10:14 ?        00:00:03 /usr/libexec/gvfsd-trash --spawner :1.14 /org/gtk/gvfs/exec_spaw/0
manikan+    2254    1908  0 10:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
manikan+    2259    1908  0 10:14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
manikan+    2261    1908  0 10:14 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
manikan+    2280    1908  0 10:14 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
manikan+    2281    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-a11y-settings
manikan+    2282    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-color
manikan+    2284    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-datetime
manikan+    2285    2280  0 10:14 ?        00:00:04 /usr/bin/ibus-daemon --panel disable
manikan+    2287    1908  0 10:14 ?        00:00:08 /usr/libexec/gsd-housekeeping
manikan+    2289    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-keyboard
manikan+    2291    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-media-keys
manikan+    2293    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-power
manikan+    2296    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-print-notifications
manikan+    2301    1908  0 10:14 ?        00:00:04 /usr/libexec/gsd-rfkill
manikan+    2304    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
manikan+    2307    1908  0 10:14 ?        00:00:14 /usr/libexec/gsd-sharing
manikan+    2309    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-smartcard
manikan+    2312    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-sound
manikan+    2316    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-wacom
manikan+    2335    2081  0 10:14 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
manikan+    2356    2081  0 10:14 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
manikan+    2408    2285  0 10:14 ?        00:00:00 /usr/libexec/ibus-memconf
manikan+    2409    2285  0 10:14 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
manikan+    2415    1908  0 10:14 ?        00:00:00 /usr/libexec/ibus-portal
manikan+    2425    1908  0 10:14 ?        00:00:09 /snap/snap-store/1216/usr/bin/snap-store --gapplication-service
manikan+    2475    2285  0 10:14 ?        00:00:01 /usr/libexec/ibus-engine-simple
manikan+    2533    1908  0 10:14 ?        00:00:00 /usr/libexec/gsd-printer
manikan+    2548    1908  0 10:14 ?        00:00:07 /usr/libexec/tracker-miner-fs-3
manikan+    2568    1908  0 10:14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
manikan+    2597    1908  0 10:14 ?        00:00:10 /usr/libexec/xdg-desktop-portal
manikan+    2601    1908  0 10:14 ?        00:00:17 /usr/libexec/xdg-desktop-portal-gnome
manikan+    2615    1908  0 10:14 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2657       1  0 10:14 ?        00:00:04 /usr/sbin/cups-browsed
root        2658       1  0 10:14 ?        00:01:08 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2685       1  0 10:14 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2693       1  0 10:14 ?        00:00:00 /usr/sbin/kerneloops
manikan+    3079    1908  0 10:14 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        3667    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.18.0.2 -container-port 6379
root        3679    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.18.0.2 -container-port 6379
root        3708    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 27017 -container-ip 172.18.0.4 -container-port 27017
root        3717    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 27017 -container-ip 172.18.0.4 -container-port 27017
root        3738    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 80 -container-ip 172.18.0.5 -container-port 80
root        3750    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 80 -container-ip 172.18.0.5 -container-port 80
root        3758    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 443 -container-ip 172.18.0.5 -container-port 443
root        3775    2658  0 10:14 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 443 -container-ip 172.18.0.5 -container-port 443
root        3826       1  0 10:14 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace moby -id ed31905adaca70509437665ecaf0254146eb020a6c239256078c215984fabb95 -address /run/containerd/containerd.sock
root        3827       1  0 10:14 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 74ca80ecb518e8ecbfd338ca57b902766f728160677796fce72fc96a4a85000c -address /run/containerd/containerd.sock
root        3839       1  0 10:14 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace moby -id b96d47051049836588ea519a2760777b8e54670dcfc8d0d4d1dd4da5fb8eec3e -address /run/containerd/containerd.sock
root        3843       1  0 10:14 ?        00:00:02 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5d67562397e8cc5e4087a1c5eecce7b15a95c57175d46cddca452e2b82ef749f -address /run/containerd/containerd.sock
root        3949       1  0 10:14 ?        00:00:02 /usr/bin/containerd-shim-runc-v2 -namespace moby -id b49dfdaca505801f05d376753cc7b2c32611ef0af6914cd2956071f0b27d2dca -address /run/containerd/containerd.sock
root        3972    3843  0 10:14 ?        00:00:00 npm run start
999         3990    3827  0 10:14 ?        00:02:16 redis-server *:6379
root        3996    3839  0 10:14 ?        00:00:00 /bin/sh -c sh -c "serve out -l $PORT"
999         4009    3826  0 10:14 ?        00:03:41 mongod --auth --bind_ip_all
root        4017    3949  0 10:14 ?        00:00:00 nginx: master process nginx -g daemon off;
manikan+    4169    1908  0 10:14 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
manikan+    4234    4169  0 10:14 ?        00:00:00 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
root        4316    3996  0 10:14 ?        00:00:00 sh -c serve out -l 3000
root        4319    4316  0 10:14 ?        00:00:00 node /usr/local/bin/serve out -l 3000
systemd+    4385    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4386    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4387    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4388    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4389    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4390    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4391    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4392    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4393    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4394    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4395    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4396    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4397    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4398    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4399    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4400    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4401    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4402    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4403    4017  0 10:14 ?        00:00:00 nginx: worker process
systemd+    4404    4017  0 10:14 ?        00:00:00 nginx: worker process
root        4405    3972  0 10:14 ?        00:00:00 sh -c next start
root        4406    4405  0 10:14 ?        00:00:00 next-server (v15.1.7)
manikan+    4947    1908  2 10:14 ?        00:11:05 /opt/google/chrome/chrome
manikan+    4956    4947  0 10:14 ?        00:00:00 cat
manikan+    4957    4947  0 10:14 ?        00:00:00 cat
